name,description,origin_price,publishing_company,writer,tags
高等数学,"本书是同济大学数学系编《高等数学》的第六版，依据最新的“工科类本科数学基础课程教学基本要求”，为高等院校工科类各专业学生修订而成。本次修订时对教材的深广度进行了适度的调整，使学习本课程的学生都能达到合格的要求，并设置部分带*号的内容以适应分层次教学的需要；吸收国内外优秀教材的优点对习题的类型和数量进行了凋整和充实，以帮助学生提高数学素养、培养创新意识、掌握运用数学工具去解决实际问题的能力；对书中内容进一步锤炼和调整，将微分方程作为一元函数微积分的应用移到上册，更有利于学生的学习与掌握",27.4,高等教育出版社,同济大学数学系,教科书
微观经济学,"《经济科学译丛：微观经济学（第8版）》是一本经典的微观经济学教材，除包括供求理论、消费理论、生产和成本理论、厂商价格与产量决策理论、市场失灵和政府干预理论等微观经济领域的基本理论外，还涵盖了近年发展起来的新领域，如博弈论和竞争性策略、不确定性和不对称信息的作用及应用、有市场势力的厂商定价策略以及制定政策以有效地处理环境污染之类的外部性问题等。第八版在上一版的基础上，根据近几年的发展变化增加了一些新的案例和主题。",59.1,中国人民大学出版社,平狄克,教科书
宏观经济学,"N·格里高利·曼昆(N.GregoryMankiw)，哈佛大学经济学教授。他于普林斯顿大学获得文学士学位，麻省理工学院获得经济学博士学位，1985年开始在哈佛大学任教。他还是美国国家经济研究局(NationalBureau of EconomicResearch，NBER)的研究员、布鲁金斯经济活动讨论小组的成员、波土顿联邦储备银行和国会预算办公室的顾问，并曾于2003—2005年期间任总统经济顾问委员会主席。他的研究范围涉及宏观经济学的许多领域，包括价格调整、消费者行为、金融市场、货币与财政政策及经济增长。",49.1,中国人民大学出版社,曼昆,经济
考研英语真题100篇,"在2014年真题中有135个单词在于慧《考研英语真题100篇》中没有出现过。在这135个词汇中，中学词汇19个、四级词汇38个、考研词汇18个，超纲词汇60个(其中专有名词31个，同源词5个，实际超纲词汇为24个)。这也就是说若本书100篇文章中的全部词汇都认识，有中学基础的考生在2014年的考研英语中有(38+18+24)80个单词不认识。有四级基础的考生在2014年的考研英语中有(18+24)42个单词不认识。这就意味着，若100篇中的每个单词都认识，你在2014年的考研英语中比那些把大纲词汇全部背下来的考生还要牛！",52.4,光明日报出版社,于慧,英语
清华大学计算机系列教材,"涵盖教学大纲内容，兼顾学科知识的广度和深度，适用面广；引入抽象数据类型的基本概念，有助于培养学生的数据抽象和算法设计能力；以C伪码语言描述存储结构和算法，有助于提高学生的程序设计能力：对算法进行详尽的定性或定量的时间分析，有助于奠定学生的算法分析基础；另外一本《数据结构（C语言版）》（含盘）有配套光盘，提供了全书120余个算法C语言源码。80余个算法执行过程的动态演示，有助于学生对数据结构和算法的分析和理解。",24.7,清华大学出版社,吴伟民,计算机
计算机网络,"本书作者谢希仁教授是我国著名的计算机网络专家和教育家，长期以来科研和教学双肩挑。他具有极深的学术造诣和丰富的教学经验，能把深奥的网络知识深入浅出地介绍给读者，让读者易学易懂好记。 ",30.4,电子工业出版社,谢希仁,计算机
如何阅读一本书,"这里所谓“阅读的人”（readers），是指那些今天仍然习惯于从书写文字中汲取大量资讯，以增进对世界了解的人，就和过去历史上每一个深有教养、智慧的人别无二致。当然，并不是每个人都能做到这一点。即使在收音机、电视没有出现以前，许多资讯与知识也是从口传或观察而得。但是对智能很高又充满好奇心的人来说，这样是不够的。他们知道他们还得阅读，而他们也真的身体力行。",21,商务印书馆,艾德勒,学习
青蛙探长和小狗探员,"铁石心肠、爱哭又喜欢唱歌的青蛙探长和小狗探员，加上总是需要鼓励的印第安小男孩古力，三个宝藏猎人搭着各式各样的宇宙飞船，不停地穿梭银河、一个星球又一个星球地去寻宝…… 他们在温泉星球的“忘忧泡澡桶”洗去了烦恼和忧愁；在热乎乎的温泉烟雾中，青蛙探长和小狗探员第一次相遇的感人画面，让人看了忍不住又哭又笑。啊，一切似乎快乐又美好……但是，印加星球的“黄金蛋”，还有小狗意外得到的“变身项圈”，却大大地改变了这三个宝藏猎人的命运！可爱又可怕的焦糖玛琪朵、“章鱼丸”上的章鱼海盗，让这趟寻宝大冒险出现大逆转！青蛙探长和小狗探员，到底能不能实现他们的果冻梦想？他们究竟碰到什么更加难以预料的意外插曲？",48.8,贵州人民出版社,哲也,童话
"不用说，孩子就会听——歪歪兔逆反期教育系列图画书","随着自我意识和独立性的增强、思维进入自我中心化阶段，幼儿在2岁以后进入人生第一个逆反期。这个时期会断断续续地延续到4、5岁。在此期间，孩子会表现出种种逆反行为，常常令父母苦恼。尤其关键的是，父母常常因为不知如何应对而采取放任或强制的手段，使孩子的逆反心理得不到化解，并拒绝与父母沟通，进而使这个逆反期的逆反行为和心理延续下来，形成为一种不良性格，以至于青春期的逆反将更加严重。",35.8,海豚出版社,歪歪兔关键期早教项目组,童话
SUPERJUNIOR的韩国游记,"super junior，韩国人气歌手，2005年11月6日出道，现活动成员为11位，每位成员才华横溢，活跃于演艺圈各个领域之中，获奖无数。迄今为止已发行韩文专辑6张，均取得不菲成绩。本套书是super junior第一次挑战全文字非写真类图书。 ",231,江苏美术出版社,SUPERJUNIOR,明星
百年孤独,"《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世界最重要的经典文学巨著之一。1982年加西亚?马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。",29.6,南海出版社,马尔克斯,历史
教父,"唐的家族拒绝染指毒品生意，遭到其他黑手党报复。唐·柯里昂受到重创，但是苦难使他和儿子们的关系更加亲密，让家族变得更加强大。小儿子迈克尔·柯里昂在危机时刻谨记父亲的教诲。他选择了家族、荣誉和责任，他为兄弟复仇、为家族清理门户，成为家族的继承者，成为新的教父。",30.10,江苏文艺出版社,普佐,历史
苏童作品集,"苏童，1983年开始发表小说，迄今有作品百十万字，代表作包括《园艺》、《红粉》、《妻妾成群》、《已婚男人》和《离婚指南》等。中篇小说《妻妾成群》被张艺谋改编成电影《大红灯笼高高挂》，蜚声海内外。",241.5,上海文艺出版社,苏童,童话
三国演义,"人民文学出版社是新中国建国后，最早出版中国古典小说的出版社。几十年来，我社陆续出版过几乎所有重要的中国古代小说。对太大读者产生过重要影响。为满足读者阅读经典名著的需要。我们此次特别推出的“中国古代小说名著插图典藏系列”。包括“四大名著”、“三言二拍”、《儒林外史》、《聊斋志异》等共十一种作品。这批小说既代表着中国古典小说的最高成就，也具有各自独特的价值和意义。本系列均由名家校勘和注释，并配有明清时期的精美插图，希望能得到读者们的青睐。",20,人民文学出版社,罗贯中,历史
做最好的老师,"本书是著名教育家李镇西25年教育教学思想和智的精华集萃，全方位阐释了李镇西教育观、学生观、班级管理、学生思想工作、学生心理健康、语文教学的理念和实践。其中有的观点已经深入人心：“变语文教学为语文教育”“集体主义教育是中学教育的核心”“把班主任的权威转化为学生的集权威”“让语文教学走进学生的心灵，让学生参与语文教学”“班级管理要以‘法治’取代'人治'”“解放班主任和班主任的自我解放”“童心是师爱之源”“变应试语文为生活语文”“德育观念的十大碰撞”“教育呼吸民主、科学、个性”“教育是心灵的艺术，民主是教育的灵魂”……其“爱心、民主”教育，素质教育的思想和实践让广大教师感动、哲服，“未来班”的模式演绎着教师的理想主义、浪漫主义情怀，令人向往，很多身处“迷茫”中的教师表示从中找到了方向，看到了未来和希望。本书集中展示了作者的教育教学思想、艺要主和具体操作方法。作者的教育表朴实、诗意、形象而充满激情。他擅长把理性的思考倾注于可读性极强的教育故事之中，在一个个跌宕起伏、典折动人的故事里，作者的教育思想、教育机智、教育技巧、教育情感……全都融会其中，发人演省，撼人心魄，催人泪下。本书为教师培训、进修、自身素质提高的教材首选！",20.7,文化艺术出版社,李镇西,励志
原本大学微言,"《大学》是儒家的代表作之一，相传为孔子的学生曾子所著，它与《中庸》、《论语》、《孟子》合称“四书”，是宋代以后士人学子必读的教科书。本书是著名学者南怀瑾先生有关《大学》的讲记，书名中说的“原本大学”指的是《大学》的古本《小戴礼记·大学》，作者以渊博的学识，综罗大量的文史典故，对《大学》中的微言大义作了揭示，给人以知识的乐趣和人生的启悟。",33.2,复旦大学出版社,南怀瑾,名著
